Server_Name	Storage_Device	Storage_Vol(GB)	Source	Tier
ELSDAYKVSP001	VNX_APM00125172990-FAST	1000.000	svcmbge01v	T2
FNTD5BAPPP077	VNX_APM00125172990-FAST	1495.040	svcmbge01v	T2
FNTD5BAPPP078	VNX_APM00125172990-FAST	1495.040	svcmbge01v	T2
FNTD5BAPPP079	VNX_APM00125172990-FAST	1495.040	svcmbge01v	T2
FNTD5BDATA01	XIV_7825620	3582.000	svcmbge01v	T1
FNTD5BDATA04	XIV_7825620	3750.000	svcmbge01v	T1
FNTD5BDATA06	XIV_7825620	1000.000	svcmbge01v	T1
FNTD5BDATA09	XIV_7820520	1024.000	svcmbge01v	T1
FNTD5BDATA09	XIV_7825620	1996.800	svcmbge01v	T1
FNTD5BSQLCCC1	VNX_APM00125172990-FAST	2400.488	svcmbge01v	T2
FNTD5BSQLCCC2	VNX_APM00125172990-FAST	2400.488	svcmbge01v	T2
FNTD5BSQLPCA1	XIV_7820520	925.488	svcmbge01v	T1
FNTD5BSQLPCA2	XIV_7820520	925.488	svcmbge01v	T1
FNTD5BSQLPCC1	XIV_7820520	400.488	svcmbge01v	T1
FNTD5BSQLPCC2	XIV_7820520	400.488	svcmbge01v	T1
FNTD5BSQLPCE1	XIV_7820520	7912.528	svcmbge01v	T1
FNTD5BSQLPCE1	XIV_7825620	400.000	svcmbge01v	T1
FNTD5BSQLPCE2	XIV_7820520	7912.528	svcmbge01v	T1
FNTD5BSQLPCE2	XIV_7825620	400.000	svcmbge01v	T1
FNTD5BSQLPCU1	XIV_7825620	2483.988	svcmbge01v	T1
FNTD5BSQLPCU2	XIV_7825620	2483.988	svcmbge01v	T1
LNGDAYAPPP078	VNX_APM00125172990-FAST	3600.000	svcmbge01v	T2
LNGDAYCTXP021	VNX_APM00125172990-FAST	550.000	svcmbge01v	T2
LNGDAYDATP001	XIV_7820623	10588.160	svcmbge01v	T1
LNGDAYDATP003	XIV_7825620	12419.040	svcmbge01v	T1
LNGDAYDATP003	XIV_6050008	500.000	svcmbge01v	T1
LNGDAYDATP003	XIV_7820520	1996.800	svcmbge01v	T1
LNGDAYDATP007	XIV_7825620	6150.320	svcmbge01v	T1
LNGDAYDATP008	XIV_7820623	10850.880	svcmbge01v	T1
LNGDAYEXCP001	VNX_APM00125172990-FAST	235.000	svcmbge01v	T2
LNGDAYEXCP01P1	VNX_APM00125172990-FAST	878.146	svcmbge01v	T2
LNGDAYEXCP01P2	VNX_APM00125172990-FAST	878.146	svcmbge01v	T2
LNGDAYEXCP01P3	VNX_APM00125172990-FAST	878.146	svcmbge01v	T2
LNGDAYEXCP01P4	VNX_APM00125172990-FAST	878.146	svcmbge01v	T2
LNGDAYEXCP01P5	VNX_APM00125172990-FAST	878.146	svcmbge01v	T2
LNGDAYMFSP002	XIV_7820520	1225.000	svcmbge01v	T1
