Server_Name	Storage_Device	Storage_Vol(GB)	Source	Tier
FNTD5BDATA10	XIV_6050025	2000.000	svcspre01v	T1
FNTD5BSQLPCB1	XIV_6050025	530.488	svcspre01v	T1
FNTD5BSQLPCB2	XIV_6050025	530.488	svcspre01v	T1
LNGDA2EXCP001	XIV_7820523	250.000	svcspre01v	T1
LNGDA2SQLP001	XIV_6050004	266.000	svcspre01v	T1
PNTD2BSQLCL1	XIV_6050004	325.488	svcspre01v	T1
PNTD2BSQLCL2	XIV_6050004	325.488	svcspre01v	T1
PNTD2BSQLCN1	XIV_6050025	18665.827	svcspre01v	T1
PSDB2199	VMAX_192605755-FAST-POOL-1	1510.200	svcspre01v	T1
PSDB22112	VMAX_192605755-FAST-POOL-2	98.140	svcspre01v	T1
PSDB22119	VMAX_192605755-FAST-POOL-1	3558.150	svcspre01v	T1
PSDB22119	VMAX_192605755-FAST-POOL-2	981.400	svcspre01v	T1
PSDB22898	VMAX_192605755-FAST-POOL-2	678.030	svcspre01v	T1
PSDB44500	VMAX_192605755-FAST-POOL-1	4243.110	svcspre01v	T1
PSDB44540	XIV_6050004	1701.333	svcspre01v	T1
PSDB44541	XIV_6050004	1701.333	svcspre01v	T1
PSDB44542	XIV_6050004	1701.333	svcspre01v	T1
PSDB44553	XIV_6050004	848.000	svcspre01v	T1
PSDB44554	XIV_6050004	848.000	svcspre01v	T1
PSDB44555	XIV_6050004	848.000	svcspre01v	T1
PSDB4500	VMAX_192605755-FAST-POOL-1	2570.830	svcspre01v	T1
PSDB4540	VMAX_192605755-FAST-POOL-1	3685.875	svcspre01v	T1
PSDB4541	VMAX_192605755-FAST-POOL-1	3734.945	svcspre01v	T1
PSDB4580	XIV_6050004	2659.970	svcspre01v	T1
PSDB4607	XIV_6050004	1925.333	svcspre01v	T1
PSDB4608	XIV_6050004	1925.333	svcspre01v	T1
PSDB4609	XIV_6050004	1925.333	svcspre01v	T1
RETDA2LYCP101	XIV_6050004	60.000	svcspre01v	T1
RETDA2LYCP102	XIV_6050004	60.000	svcspre01v	T1
RETDA2LYCP103	XIV_6050004	60.000	svcspre01v	T1
RETDA2LYCP104	XIV_6050004	60.000	svcspre01v	T1
RETDA2LYCP105	XIV_6050004	250.000	svcspre01v	T1
RETDA2LYCP106	XIV_6050004	250.000	svcspre01v	T1
RETDAYESX337	XIV_7820523	998.400	svcspre01v	T1
RETLEBESX300	XIV_7820523	998.400	svcspre01v	T1
RETSPRESX097	XIV_6050004	998.400	svcspre01v	T1
RETSPRESX098	XIV_6050004	998.400	svcspre01v	T1
RETSPRESX125	VMAX_192605755-FAST-POOL-1	570.514	svcspre01v	T1
RETSPRESX126	VMAX_192605755-FAST-POOL-1	570.514	svcspre01v	T1
RETSPRESX127	VMAX_192605755-FAST-POOL-1	570.514	svcspre01v	T1
RETSPRESX128	VMAX_192605755-FAST-POOL-1	570.514	svcspre01v	T1
RETSPRESX175	VMAX_192605755-FAST-POOL-1	570.514	svcspre01v	T1
RETSPRESX176	VMAX_192605755-FAST-POOL-1	570.514	svcspre01v	T1
RETSPRESX177	VMAX_192605755-FAST-POOL-1	570.514	svcspre01v	T1
RETSPRESX221	XIV_6050025	1996.800	svcspre01v	T1
RETSPRESX221	VMAX_192605755-FAST-POOL-1	3909.973	svcspre01v	T1
RETSPRESX221	VMAX_192605755-FAST-POOL-2	998.400	svcspre01v	T1
RETSPRESX221	XIV_6050004	166.667	svcspre01v	T1
RETSPRESX222	XIV_6050025	1996.800	svcspre01v	T1
RETSPRESX222	VMAX_192605755-FAST-POOL-1	3909.973	svcspre01v	T1
RETSPRESX222	VMAX_192605755-FAST-POOL-2	998.400	svcspre01v	T1
RETSPRESX222	XIV_6050004	166.667	svcspre01v	T1
RETSPRESX227	XIV_6050025	1996.800	svcspre01v	T1
RETSPRESX227	VMAX_192605755-FAST-POOL-1	3909.973	svcspre01v	T1
RETSPRESX227	VMAX_192605755-FAST-POOL-2	998.400	svcspre01v	T1
RETSPRESX227	XIV_6050004	166.667	svcspre01v	T1
RETSPRESX241	VMAX_192605755-FAST-POOL-1	2745.600	svcspre01v	T1
