svclebe01v
id,name,SCSI_id,vdisk_id,vdisk_name,vdisk_UID
0,LEB0001_RETLEBESX304,0,0,LEB0001_SHARED_ESX_XVOL009,60050768018186BB6800000000000013
0,LEB0001_RETLEBESX304,5,36,LEB0001_SHARED_ESX_XVOL003,60050768018186BB6800000000000039
0,LEB0001_RETLEBESX304,6,37,LEB0001_SHARED_ESX_XVOL004,60050768018186BB680000000000003A
0,LEB0001_RETLEBESX304,7,38,LEB0001_SHARED_ESX_XVOL006,60050768018186BB680000000000003C
0,LEB0001_RETLEBESX304,9,39,LEB0001_SHARED_ESX_XVOL010,60050768018186BB680000000000005C
0,LEB0001_RETLEBESX304,10,66,LEB0001_MIGRATE_ESX_RVOL003,60050768018186BB6800000000000068
0,LEB0001_RETLEBESX304,1,26,LEB0001_SHARED_ESX_XVOL008,60050768018186BB680000000000002D
0,LEB0001_RETLEBESX304,2,64,LEB0001_SHARED_ESX_RVOL001,60050768018186BB6800000000000066
0,LEB0001_RETLEBESX304,3,34,LEB0001_SHARED_ESX_XVOL001,60050768018186BB6800000000000037
0,LEB0001_RETLEBESX304,4,35,LEB0001_SHARED_ESX_XVOL002,60050768018186BB6800000000000038
0,LEB0001_RETLEBESX304,8,28,LEB0001_SHARED_ESX_XVOL007,60050768018186BB680000000000003D
3,LEB6000_PSC4813,0,12,LEB6000_SHARED_QUO_XVOL001,60050768018186BB680000000000001F
3,LEB6000_PSC4813,1,13,LEB6000_SHARED_QUO_XVOL002,60050768018186BB6800000000000020
3,LEB6000_PSC4813,2,14,LEB6000_SHARED_QUO_XVOL003,60050768018186BB6800000000000021
3,LEB6000_PSC4813,3,15,MBG6000_SHARED_DAT_RVOL001_FC001,60050768018186BB6800000000000022
3,LEB6000_PSC4813,5,17,MBG6000_SHARED_DAT_RVOL003_FC001,60050768018186BB6800000000000024
3,LEB6000_PSC4813,7,19,MBG6000_SHARED_DAT_RVOL005_FC001,60050768018186BB6800000000000026
3,LEB6000_PSC4813,9,21,MBG6000_SHARED_DAT_RVOL007_FC001,60050768018186BB6800000000000028
3,LEB6000_PSC4813,11,23,MBG6000_SHARED_DAT_RVOL009_FC001,60050768018186BB680000000000002A
3,LEB6000_PSC4813,13,25,MBG6000_SHARED_DAT_RVOL011_FC001,60050768018186BB680000000000002C
3,LEB6000_PSC4813,15,51,MBG6000_SHARED_DAT_RVOL012_FC001,60050768018186BB680000000000004B
3,LEB6000_PSC4813,17,53,MBG6000_SHARED_DAT_RVOL014_FC001,60050768018186BB680000000000004D
3,LEB6000_PSC4813,19,55,MBG6000_SHARED_DAT_RVOL016_FC001,60050768018186BB680000000000004F
3,LEB6000_PSC4813,4,16,MBG6000_SHARED_DAT_RVOL002_FC001,60050768018186BB6800000000000023
3,LEB6000_PSC4813,6,18,MBG6000_SHARED_DAT_RVOL004_FC001,60050768018186BB6800000000000025
3,LEB6000_PSC4813,8,20,MBG6000_SHARED_DAT_RVOL006_FC001,60050768018186BB6800000000000027
3,LEB6000_PSC4813,10,22,MBG6000_SHARED_DAT_RVOL008_FC001,60050768018186BB6800000000000029
3,LEB6000_PSC4813,12,24,MBG6000_SHARED_DAT_RVOL010_FC001,60050768018186BB680000000000002B
3,LEB6000_PSC4813,14,40,LEB6000_PSC4813_DAT_xvol001,60050768018186BB680000000000003F
3,LEB6000_PSC4813,16,52,MBG6000_SHARED_DAT_RVOL013_FC001,60050768018186BB680000000000004C
3,LEB6000_PSC4813,18,54,MBG6000_SHARED_DAT_RVOL015_FC001,60050768018186BB680000000000004E
3,LEB6000_PSC4813,20,56,MBG6000_SHARED_DAT_RVOL017_FC001,60050768018186BB6800000000000050
4,LEB6000_PSC4814,0,12,LEB6000_SHARED_QUO_XVOL001,60050768018186BB680000000000001F
4,LEB6000_PSC4814,1,13,LEB6000_SHARED_QUO_XVOL002,60050768018186BB6800000000000020
4,LEB6000_PSC4814,2,14,LEB6000_SHARED_QUO_XVOL003,60050768018186BB6800000000000021
4,LEB6000_PSC4814,3,15,MBG6000_SHARED_DAT_RVOL001_FC001,60050768018186BB6800000000000022
4,LEB6000_PSC4814,5,17,MBG6000_SHARED_DAT_RVOL003_FC001,60050768018186BB6800000000000024
4,LEB6000_PSC4814,7,19,MBG6000_SHARED_DAT_RVOL005_FC001,60050768018186BB6800000000000026
4,LEB6000_PSC4814,9,21,MBG6000_SHARED_DAT_RVOL007_FC001,60050768018186BB6800000000000028
4,LEB6000_PSC4814,11,23,MBG6000_SHARED_DAT_RVOL009_FC001,60050768018186BB680000000000002A
4,LEB6000_PSC4814,13,25,MBG6000_SHARED_DAT_RVOL011_FC001,60050768018186BB680000000000002C
4,LEB6000_PSC4814,15,51,MBG6000_SHARED_DAT_RVOL012_FC001,60050768018186BB680000000000004B
4,LEB6000_PSC4814,17,53,MBG6000_SHARED_DAT_RVOL014_FC001,60050768018186BB680000000000004D
4,LEB6000_PSC4814,19,55,MBG6000_SHARED_DAT_RVOL016_FC001,60050768018186BB680000000000004F
4,LEB6000_PSC4814,4,16,MBG6000_SHARED_DAT_RVOL002_FC001,60050768018186BB6800000000000023
4,LEB6000_PSC4814,6,18,MBG6000_SHARED_DAT_RVOL004_FC001,60050768018186BB6800000000000025
4,LEB6000_PSC4814,8,20,MBG6000_SHARED_DAT_RVOL006_FC001,60050768018186BB6800000000000027
4,LEB6000_PSC4814,10,22,MBG6000_SHARED_DAT_RVOL008_FC001,60050768018186BB6800000000000029
4,LEB6000_PSC4814,12,24,MBG6000_SHARED_DAT_RVOL010_FC001,60050768018186BB680000000000002B
4,LEB6000_PSC4814,14,41,LEB6000_PSC4814_DAT_xvol001,60050768018186BB6800000000000040
4,LEB6000_PSC4814,16,52,MBG6000_SHARED_DAT_RVOL013_FC001,60050768018186BB680000000000004C
4,LEB6000_PSC4814,18,54,MBG6000_SHARED_DAT_RVOL015_FC001,60050768018186BB680000000000004E
4,LEB6000_PSC4814,20,56,MBG6000_SHARED_DAT_RVOL017_FC001,60050768018186BB6800000000000050
5,LEB6000_PSC4815,0,12,LEB6000_SHARED_QUO_XVOL001,60050768018186BB680000000000001F
5,LEB6000_PSC4815,1,13,LEB6000_SHARED_QUO_XVOL002,60050768018186BB6800000000000020
5,LEB6000_PSC4815,2,14,LEB6000_SHARED_QUO_XVOL003,60050768018186BB6800000000000021
5,LEB6000_PSC4815,3,15,MBG6000_SHARED_DAT_RVOL001_FC001,60050768018186BB6800000000000022
5,LEB6000_PSC4815,5,17,MBG6000_SHARED_DAT_RVOL003_FC001,60050768018186BB6800000000000024
5,LEB6000_PSC4815,7,19,MBG6000_SHARED_DAT_RVOL005_FC001,60050768018186BB6800000000000026
5,LEB6000_PSC4815,9,21,MBG6000_SHARED_DAT_RVOL007_FC001,60050768018186BB6800000000000028
5,LEB6000_PSC4815,11,23,MBG6000_SHARED_DAT_RVOL009_FC001,60050768018186BB680000000000002A
5,LEB6000_PSC4815,13,25,MBG6000_SHARED_DAT_RVOL011_FC001,60050768018186BB680000000000002C
5,LEB6000_PSC4815,15,51,MBG6000_SHARED_DAT_RVOL012_FC001,60050768018186BB680000000000004B
5,LEB6000_PSC4815,17,53,MBG6000_SHARED_DAT_RVOL014_FC001,60050768018186BB680000000000004D
5,LEB6000_PSC4815,19,55,MBG6000_SHARED_DAT_RVOL016_FC001,60050768018186BB680000000000004F
