svclebp01v
id,name,SCSI_id,vdisk_id,vdisk_name,vdisk_UID
3,LEB0002_PSDBLB44543,1,15,LEB0002_SHARED_ORA_XVOL001,60050768018087286800000000000011
3,LEB0002_PSDBLB44543,3,17,LEB0002_SHARED_ORA_XVOL003,60050768018087286800000000000013
3,LEB0002_PSDBLB44543,5,19,LEB0002_SHARED_ORA_XVOL005,60050768018087286800000000000015
3,LEB0002_PSDBLB44543,7,21,LEB0002_SHARED_ORA_XVOL007,60050768018087286800000000000017
3,LEB0002_PSDBLB44543,9,23,LEB0002_SHARED_ORA_XVOL009,60050768018087286800000000000019
3,LEB0002_PSDBLB44543,11,25,LEB0002_SHARED_ORA_XVOL011,6005076801808728680000000000001B
3,LEB0002_PSDBLB44543,13,27,LEB0002_SHARED_ORA_XVOL013,6005076801808728680000000000001D
3,LEB0002_PSDBLB44543,15,29,LEB0002_SHARED_ORA_XVOL015,6005076801808728680000000000001F
3,LEB0002_PSDBLB44543,17,31,LEB0002_SHARED_ORA_XVOL017,60050768018087286800000000000021
3,LEB0002_PSDBLB44543,19,33,LEB0002_SHARED_ORA_XVOL019,60050768018087286800000000000023
3,LEB0002_PSDBLB44543,21,35,LEB0002_SHARED_ORA_XVOL021,60050768018087286800000000000025
3,LEB0002_PSDBLB44543,23,37,LEB0002_SHARED_ORA_XVOL023,60050768018087286800000000000027
3,LEB0002_PSDBLB44543,25,39,LEB0002_SHARED_ORA_XVOL025,60050768018087286800000000000029
3,LEB0002_PSDBLB44543,27,41,LEB0002_SHARED_ORA_XVOL027,6005076801808728680000000000002B
3,LEB0002_PSDBLB44543,2,16,LEB0002_SHARED_ORA_XVOL002,60050768018087286800000000000012
3,LEB0002_PSDBLB44543,4,18,LEB0002_SHARED_ORA_XVOL004,60050768018087286800000000000014
3,LEB0002_PSDBLB44543,6,20,LEB0002_SHARED_ORA_XVOL006,60050768018087286800000000000016
3,LEB0002_PSDBLB44543,8,22,LEB0002_SHARED_ORA_XVOL008,60050768018087286800000000000018
3,LEB0002_PSDBLB44543,10,24,LEB0002_SHARED_ORA_XVOL010,6005076801808728680000000000001A
3,LEB0002_PSDBLB44543,12,26,LEB0002_SHARED_ORA_XVOL012,6005076801808728680000000000001C
3,LEB0002_PSDBLB44543,14,28,LEB0002_SHARED_ORA_XVOL014,6005076801808728680000000000001E
3,LEB0002_PSDBLB44543,16,30,LEB0002_SHARED_ORA_XVOL016,60050768018087286800000000000020
3,LEB0002_PSDBLB44543,18,32,LEB0002_SHARED_ORA_XVOL018,60050768018087286800000000000022
3,LEB0002_PSDBLB44543,20,34,LEB0002_SHARED_ORA_XVOL020,60050768018087286800000000000024
3,LEB0002_PSDBLB44543,22,36,LEB0002_SHARED_ORA_XVOL022,60050768018087286800000000000026
3,LEB0002_PSDBLB44543,24,38,LEB0002_SHARED_ORA_XVOL024,60050768018087286800000000000028
3,LEB0002_PSDBLB44543,26,40,LEB0002_SHARED_ORA_XVOL026,6005076801808728680000000000002A
4,LEB0002_PSDBLB44544,1,15,LEB0002_SHARED_ORA_XVOL001,60050768018087286800000000000011
4,LEB0002_PSDBLB44544,3,17,LEB0002_SHARED_ORA_XVOL003,60050768018087286800000000000013
4,LEB0002_PSDBLB44544,5,19,LEB0002_SHARED_ORA_XVOL005,60050768018087286800000000000015
4,LEB0002_PSDBLB44544,7,21,LEB0002_SHARED_ORA_XVOL007,60050768018087286800000000000017
4,LEB0002_PSDBLB44544,9,23,LEB0002_SHARED_ORA_XVOL009,60050768018087286800000000000019
4,LEB0002_PSDBLB44544,11,25,LEB0002_SHARED_ORA_XVOL011,6005076801808728680000000000001B
4,LEB0002_PSDBLB44544,13,27,LEB0002_SHARED_ORA_XVOL013,6005076801808728680000000000001D
4,LEB0002_PSDBLB44544,15,29,LEB0002_SHARED_ORA_XVOL015,6005076801808728680000000000001F
4,LEB0002_PSDBLB44544,17,31,LEB0002_SHARED_ORA_XVOL017,60050768018087286800000000000021
4,LEB0002_PSDBLB44544,19,33,LEB0002_SHARED_ORA_XVOL019,60050768018087286800000000000023
4,LEB0002_PSDBLB44544,21,35,LEB0002_SHARED_ORA_XVOL021,60050768018087286800000000000025
4,LEB0002_PSDBLB44544,23,37,LEB0002_SHARED_ORA_XVOL023,60050768018087286800000000000027
4,LEB0002_PSDBLB44544,25,39,LEB0002_SHARED_ORA_XVOL025,60050768018087286800000000000029
4,LEB0002_PSDBLB44544,27,41,LEB0002_SHARED_ORA_XVOL027,6005076801808728680000000000002B
4,LEB0002_PSDBLB44544,2,16,LEB0002_SHARED_ORA_XVOL002,60050768018087286800000000000012
4,LEB0002_PSDBLB44544,4,18,LEB0002_SHARED_ORA_XVOL004,60050768018087286800000000000014
4,LEB0002_PSDBLB44544,6,20,LEB0002_SHARED_ORA_XVOL006,60050768018087286800000000000016
4,LEB0002_PSDBLB44544,8,22,LEB0002_SHARED_ORA_XVOL008,60050768018087286800000000000018
4,LEB0002_PSDBLB44544,10,24,LEB0002_SHARED_ORA_XVOL010,6005076801808728680000000000001A
