svcmbgc01v
id,name,SCSI_id,vdisk_id,vdisk_name,vdisk_UID,IO_group_id,IO_group_name
1,MBG0002_LNGDAYSQLC10P1,0,6,MBG0002_SHARED_SQL_XVOL000,60050768018086C8D00000000000003E,0,io_grp0
1,MBG0002_LNGDAYSQLC10P1,1,7,MBG0002_SHARED_SQL_XVOL001,60050768018086C8D00000000000003F,0,io_grp0
1,MBG0002_LNGDAYSQLC10P1,2,8,MBG0002_SHARED_SQL_XVOL002,60050768018086C8D000000000000040,0,io_grp0
1,MBG0002_LNGDAYSQLC10P1,3,9,MBG0002_SHARED_SQL_XVOL003,60050768018086C8D000000000000041,0,io_grp0
1,MBG0002_LNGDAYSQLC10P1,4,10,MBG0002_SHARED_SQL_XVOL004,60050768018086C8D000000000000042,1,io_grp1
1,MBG0002_LNGDAYSQLC10P1,5,11,MBG0002_SHARED_SQL_XVOL005,60050768018086C8D000000000000043,1,io_grp1
1,MBG0002_LNGDAYSQLC10P1,6,12,MBG0002_SHARED_SQL_XVOL006,60050768018086C8D000000000000044,1,io_grp1
2,MBG0002_LNGDAYSQLC10P2,0,6,MBG0002_SHARED_SQL_XVOL000,60050768018086C8D00000000000003E,0,io_grp0
2,MBG0002_LNGDAYSQLC10P2,1,7,MBG0002_SHARED_SQL_XVOL001,60050768018086C8D00000000000003F,0,io_grp0
2,MBG0002_LNGDAYSQLC10P2,2,8,MBG0002_SHARED_SQL_XVOL002,60050768018086C8D000000000000040,0,io_grp0
2,MBG0002_LNGDAYSQLC10P2,3,9,MBG0002_SHARED_SQL_XVOL003,60050768018086C8D000000000000041,0,io_grp0
2,MBG0002_LNGDAYSQLC10P2,4,10,MBG0002_SHARED_SQL_XVOL004,60050768018086C8D000000000000042,1,io_grp1
2,MBG0002_LNGDAYSQLC10P2,5,11,MBG0002_SHARED_SQL_XVOL005,60050768018086C8D000000000000043,1,io_grp1
2,MBG0002_LNGDAYSQLC10P2,6,12,MBG0002_SHARED_SQL_XVOL006,60050768018086C8D000000000000044,1,io_grp1
3,MBG0003_LNGDAYSQLC012,0,13,MBG0003_LNGDAYSQLC012_SQL_XVOL000,60050768018086C8D000000000000045,0,io_grp0
