svcspre01v
id,name,SCSI_id,vdisk_id,vdisk_name,vdisk_UID
0,SPR0001_RETSPRESX221,0,0,SPR0001_SHARED_ESX_XVOL008,60050768018106BD9800000000000001
0,SPR0001_RETSPRESX221,2,6,SPR0001_SHARED_ESX_XVOL010,60050768018106BD9800000000000009
0,SPR0001_RETSPRESX221,5,10,SPR0001_SHARED_ESX_XVOL013,60050768018106BD980000000000000D
0,SPR0001_RETSPRESX221,13,600,SPR0001_SHARED_ESX_XVOL014,60050768018106BD98000000000003C6
0,SPR0001_RETSPRESX221,14,601,SPR0001_SHARED_ESX_XVOL015,60050768018106BD98000000000003C7
0,SPR0001_RETSPRESX221,15,624,SPR0001_SHARED_ESX_XVOL016,60050768018106BD98000000000003E0
0,SPR0001_RETSPRESX221,16,640,SPR0001_SHARED_ESX_XVOL017,60050768018106BD98000000000003FD
0,SPR0001_RETSPRESX221,17,641,SPR0001_SHARED_ESX_XVOL018,60050768018106BD98000000000003FE
0,SPR0001_RETSPRESX221,19,766,SPR0001_SHARED_ESX_XVOL020,60050768018106BD980000000000047B
0,SPR0001_RETSPRESX221,0,786,SPR0001_SHARED_ESX_XVOL022,60050768018106BD98000000000004A0
0,SPR0001_RETSPRESX221,1,1,SPR0001_SHARED_ESX_XVOL009,60050768018106BD9800000000000002
0,SPR0001_RETSPRESX221,3,7,SPR0001_SHARED_ESX_XVOL011,60050768018106BD980000000000000A
0,SPR0001_RETSPRESX221,4,9,SPR0001_SHARED_ESX_XVOL012,60050768018106BD980000000000000C
0,SPR0001_RETSPRESX221,6,130,SPR0001_SHARED_ESX_XVOL001,60050768018106BD98000000000000BB
0,SPR0001_RETSPRESX221,7,131,SPR0001_SHARED_ESX_XVOL002,60050768018106BD98000000000000BC
0,SPR0001_RETSPRESX221,8,132,SPR0001_SHARED_ESX_XVOL003,60050768018106BD98000000000000BD
0,SPR0001_RETSPRESX221,9,133,SPR0001_SHARED_ESX_XVOL004,60050768018106BD98000000000000BE
0,SPR0001_RETSPRESX221,10,134,SPR0001_SHARED_ESX_XVOL005,60050768018106BD98000000000000BF
0,SPR0001_RETSPRESX221,11,135,SPR0001_SHARED_ESX_XVOL006,60050768018106BD98000000000000C0
0,SPR0001_RETSPRESX221,12,136,SPR0001_SHARED_ESX_XVOL007,60050768018106BD98000000000000C1
0,SPR0001_RETSPRESX221,18,763,SPR0001_SHARED_ESX_XVOL019,60050768018106BD9800000000000478
0,SPR0001_RETSPRESX221,20,767,SPR0001_SHARED_ESX_XVOL021,60050768018106BD980000000000047C
1,SPR0001_RETSPRESX222,0,0,SPR0001_SHARED_ESX_XVOL008,60050768018106BD9800000000000001
1,SPR0001_RETSPRESX222,2,6,SPR0001_SHARED_ESX_XVOL010,60050768018106BD9800000000000009
1,SPR0001_RETSPRESX222,5,10,SPR0001_SHARED_ESX_XVOL013,60050768018106BD980000000000000D
1,SPR0001_RETSPRESX222,13,600,SPR0001_SHARED_ESX_XVOL014,60050768018106BD98000000000003C6
1,SPR0001_RETSPRESX222,14,601,SPR0001_SHARED_ESX_XVOL015,60050768018106BD98000000000003C7
1,SPR0001_RETSPRESX222,15,624,SPR0001_SHARED_ESX_XVOL016,60050768018106BD98000000000003E0
1,SPR0001_RETSPRESX222,16,640,SPR0001_SHARED_ESX_XVOL017,60050768018106BD98000000000003FD
1,SPR0001_RETSPRESX222,17,641,SPR0001_SHARED_ESX_XVOL018,60050768018106BD98000000000003FE
1,SPR0001_RETSPRESX222,19,766,SPR0001_SHARED_ESX_XVOL020,60050768018106BD980000000000047B
1,SPR0001_RETSPRESX222,0,786,SPR0001_SHARED_ESX_XVOL022,60050768018106BD98000000000004A0
1,SPR0001_RETSPRESX222,1,1,SPR0001_SHARED_ESX_XVOL009,60050768018106BD9800000000000002
1,SPR0001_RETSPRESX222,3,7,SPR0001_SHARED_ESX_XVOL011,60050768018106BD980000000000000A
1,SPR0001_RETSPRESX222,4,9,SPR0001_SHARED_ESX_XVOL012,60050768018106BD980000000000000C
1,SPR0001_RETSPRESX222,6,130,SPR0001_SHARED_ESX_XVOL001,60050768018106BD98000000000000BB
1,SPR0001_RETSPRESX222,7,131,SPR0001_SHARED_ESX_XVOL002,60050768018106BD98000000000000BC
